provincia,seccion,idalumno,sector,ambito,ldesemp,mdesemp,lpuntaje,mpuntaje,NSE_puntaje,NSE_nivel,edadA_junio2023,migracion,sobreedad,Nivel_Ed_Madre,Nivel_Ed_Padre,region,clima_escolar
PBA,3,485338,Estatal,Urbano,2,1,399.35114,300.78644,-.0014897047,2,2,2,1,6,6,CENTRO,1
PBA,1,615486,Estatal,Urbano,1,1,375.0589,300.7113,1.086651,3,2,2,1,7,7,CENTRO,2
PBA,2,615530,Estatal,Urbano,1,1,300.8573,347.29926,-.32337996,2,2,2,1,5,4,CENTRO,1
PBA,1,539846,Estatal,Urbano,1,1,300.96902,370.84174,-2.2992153,1,2,1,1,5,7,CENTRO,1
PBA,2,740917,Estatal,Urbano,2,1,394.74091,300.74426,-.37839922,2,5,2,4,5,3,CENTRO,2
PBA,4,515879,Estatal,Urbano,1,1,343.98984,300.80673,.76499271,2,2,2,1,6,6,CENTRO,2
PBA,1,405752,Estatal,Urbano,1,1,300.45883,396.77347,.075240538,2,5,1,4,4,5,CENTRO,2
PBA,2,425293,Estatal,Urbano,1,1,300.30182,350.43829,-1.8094847,1,2,2,1,4,4,CENTRO,3
PBA,2,645037,Estatal,Urbano,2,1,398.24881,300.40643,.64371079,2,2,2,1,7,7,CENTRO,2
PBA,4,502632,Privado,Urbano,1,1,367.8429,300.5351,.69449478,2,1,-9,0,7,7,CENTRO,2
PBA,1,196768,Privado,Urbano,1,1,300.90994,351.24036,.030333942,2,2,2,1,3,3,CENTRO,2
PBA,5,489791,Estatal,Urbano,1,1,327.73587,300.14325,-.51861125,2,2,2,1,7,7,CENTRO,3
PBA,2,616376,Estatal,Urbano,1,1,368.65585,300.69052,-.1620328,2,2,2,1,5,2,CENTRO,1
PBA,1,585951,Estatal,Urbano,1,1,335.92722,300.74918,.32736108,2,2,1,1,7,7,CENTRO,2
PBA,1,173875,Estatal,Urbano,1,1,261.38318,300.70468,-2.3100433,1,4,-9,3,4,2,CENTRO,2
PBA,1,171747,Estatal,Rural,1,1,359.30933,300.28525,.84191614,2,2,2,1,7,7,CENTRO,2
