provincia,seccion,idalumno,sector,ambito,ldesemp,mdesemp,lpuntaje,mpuntaje,NSE_puntaje,NSE_nivel,edadA_junio2023,migracion,sobreedad,Nivel_Ed_Madre,Nivel_Ed_Padre,region,clima_escolar
MZA,1,247287,Estatal,Urbano,4,3,550.31573,466.75851,.0057786424,2,2,2,1,4,1,CUYO,2
MZA,2,247266,Estatal,Urbano,3,2,527.24866,455.46713,-.36903167,2,2,2,1,3,3,CUYO,2
MZA,1,247289,Estatal,Urbano,2,2,421.11813,449.15985,.59687847,2,2,2,1,7,5,CUYO,2
MZA,1,247290,Estatal,Urbano,3,2,457.72147,444.71057,.92589754,2,2,2,1,7,7,CUYO,2
TUC,2,58527,Estatal,Urbano,4,4,697.28271,632.52612,.26824281,2,2,2,1,4,5,NOA,1
TUC,2,58528,Estatal,Urbano,3,2,506.27573,449.67856,-1.4014657,1,3,2,2,2,2,NOA,1
TUC,2,58529,Estatal,Urbano,3,4,487.85156,592.18585,.41172111,2,2,2,1,7,4,NOA,1
TUC,2,58530,Estatal,Urbano,2,1,392.96582,370.86786,-.52993649,2,2,2,1,5,5,NOA,1
TUC,2,58531,Estatal,Urbano,3,2,489.87946,433.82034,.41498986,2,2,2,1,5,7,NOA,1
JJY,1,665796,Privado,Urbano,4,2,590.44843,453.46252,.5796839,2,2,2,1,7,4,NOA,2
JJY,1,665797,Privado,Urbano,2,3,433.08249,528.03735,1.0026697,3,2,2,1,7,7,NOA,2
JJY,1,665798,Privado,Urbano,4,4,642.99811,645.52722,1.2546139,3,2,2,1,7,7,NOA,2
JJY,1,665799,Privado,Urbano,4,3,656.79822,582.37274,1.2546139,3,2,2,1,7,7,NOA,2
PBA,1,21974,Estatal,Urbano,1,1,387.92099,253.17084,-.41749555,2,3,2,2,1,6,CENTRO,2
PBA,1,21975,Estatal,Urbano,3,2,498.75253,434.32523,1.2231908,3,2,2,1,7,6,CENTRO,2
PBA,1,21976,Estatal,Urbano,4,3,620.66394,582.08624,.33433849,2,2,2,1,7,6,CENTRO,2
PBA,1,21978,Estatal,Urbano,4,3,549.67896,509.74506,-.45286173,2,2,2,1,4,4,CENTRO,2
PBA,1,21979,Estatal,Urbano,3,1,466.75586,387.32748,.096930645,2,2,2,1,7,2,CENTRO,2
PBA,1,21980,Estatal,Urbano,1,1,377.34094,346.83682,-.12399404,2,2,2,1,5,5,CENTRO,2
PBA,1,21981,Estatal,Urbano,3,3,496.53986,472.45874,.068856843,2,2,2,1,4,4,CENTRO,2
