provincia,seccion,idalumno,sector,ambito,ldesemp,mdesemp,lpuntaje,mpuntaje,NSE_puntaje,NSE_nivel,edadA_junio2023,migracion,sobreedad,Nivel_Ed_Madre,Nivel_Ed_Padre,region,clima_escolar
MZA,3,246047,Estatal,Rural,2,2,401.00754,451.49612,.59687847,2,2,1,1,5,5,CUYO,1
MZA,3,246048,Estatal,Rural,4,3,651.19073,572.9248,.52712566,2,2,2,1,7,5,CUYO,1
MZA,3,246049,Estatal,Rural,3,2,452.10416,415.60638,-.022224355,2,2,2,1,3,4,CUYO,1
MZA,3,246050,Estatal,Rural,1,1,342.62845,289.69717,.26489347,2,1,2,0,7,2,CUYO,1
MZA,3,246051,Estatal,Rural,2,2,422.45798,427.05286,-2.0651569,1,5,2,4,5,2,CUYO,1
MZA,3,246052,Estatal,Rural,2,2,390.55829,422.12372,-.93538308,2,3,2,2,4,3,CUYO,1
MZA,3,246053,Estatal,Rural,2,3,418.26926,527.64136,.037201755,2,2,2,1,4,2,CUYO,1
MZA,3,246054,Estatal,Rural,3,1,482.56274,400.96988,-.38295746,2,2,2,1,3,5,CUYO,1
MZA,3,246055,Estatal,Rural,1,2,344.27243,425.37698,-.15518516,2,3,2,2,5,5,CUYO,1
MZA,3,246056,Estatal,Rural,2,2,396.20432,416.15283,-.078051373,2,3,2,2,5,2,CUYO,1
MZA,3,246057,Estatal,Rural,3,2,481.17764,434.75479,-.12726276,2,2,2,1,7,2,CUYO,1
MZA,3,246058,Estatal,Rural,1,1,354.16159,390.6792,-.1689714,2,3,-9,2,2,2,CUYO,1
MZA,3,246059,Estatal,Rural,4,4,582.29773,609.3515,-.1689714,2,2,-9,1,2,2,CUYO,1
MZA,3,246060,Estatal,Rural,2,2,430.05685,448.88538,.13541175,2,2,-9,1,6,2,CUYO,1
MZA,3,246061,Estatal,Rural,2,1,413.70975,348.27951,-.33583421,2,2,-9,1,3,3,CUYO,1
MZA,3,246062,Estatal,Rural,2,2,422.69229,457.86038,-1.5577725,1,2,2,1,2,1,CUYO,1
MZA,3,246063,Estatal,Rural,2,1,428.13077,387.70282,-.1620328,2,2,2,1,5,2,CUYO,1
MZA,3,246064,Estatal,Rural,1,1,368.93057,357.2471,.60408783,2,3,-9,2,5,5,CUYO,1
MZA,3,246065,Estatal,Rural,1,1,323.79611,385.72195,.51289707,2,3,2,2,5,5,CUYO,1
MZA,3,246066,Estatal,Rural,4,1,548.41388,365.34177,-.078051373,2,3,2,2,7,2,CUYO,1
