provincia,seccion,idalumno,sector,ambito,ldesemp,mdesemp,lpuntaje,mpuntaje,NSE_puntaje,NSE_nivel,edadA_junio2023,migracion,sobreedad,Nivel_Ed_Madre,Nivel_Ed_Padre,region,clima_escolar
PBA,1,16546,Privado,Urbano,4,1,625.06708,380.62213,1.1776904,3,2,2,1,6,6,CENTRO,2
PBA,1,16547,Privado,Urbano,3,4,493.31241,606.87701,.92589754,2,2,2,1,7,7,CENTRO,2
PBA,2,16554,Privado,Urbano,4,3,613.73822,585.5838,.71953422,2,2,2,1,7,7,CENTRO,2
PBA,2,16555,Privado,Urbano,3,4,546.27295,625.92603,1.1077862,3,2,2,1,7,5,CENTRO,2
PBA,2,16557,Privado,Urbano,4,4,662.13947,630.43854,.93982339,2,2,2,1,7,5,CENTRO,2
PBA,2,16558,Privado,Urbano,3,4,543.17566,589.6004,.4566665,2,2,2,1,5,5,CENTRO,2
PBA,2,16559,Privado,Urbano,4,4,668.53107,612.23547,1.3385952,3,2,2,1,7,7,CENTRO,2
PBA,2,16560,Privado,Urbano,4,3,681.62408,534.72998,.58295268,2,3,2,2,5,7,CENTRO,2
PBA,2,16561,Privado,Urbano,4,3,579.33191,549.33649,.19476096,2,2,2,1,7,7,CENTRO,2
PBA,2,16562,Privado,Urbano,4,3,703.83765,561.00623,-.43218574,2,2,2,1,5,5,CENTRO,2
PBA,2,16563,Privado,Urbano,3,2,497.71674,456.6763,1.1776904,3,2,2,1,6,6,CENTRO,2
PBA,2,16564,Privado,Urbano,4,3,601.45477,583.00708,.68101132,2,2,-9,1,6,6,CENTRO,2
PBA,2,16565,Privado,Urbano,4,4,714.43982,660.72998,1.4225767,3,2,2,1,7,7,CENTRO,2
PBA,2,16566,Privado,Urbano,4,3,629.20148,519.41595,1.1776904,3,1,-9,0,6,6,CENTRO,2
PBA,2,16567,Privado,Urbano,3,3,530.88745,494.82037,1.4225767,3,2,2,1,7,7,CENTRO,2
PBA,2,16568,Privado,Urbano,4,4,669.29578,644.06427,.97845578,2,2,2,1,7,6,CENTRO,2
PBA,2,16571,Privado,Urbano,3,3,476.67691,477.06396,1.093709,3,3,1,2,6,6,CENTRO,2
PBA,2,16572,Privado,Urbano,3,1,527.56293,356.45612,.76484132,2,2,-9,1,5,5,CENTRO,2
PBA,2,16573,Privado,Urbano,4,4,647.935,648.84515,.89447445,2,2,2,1,7,6,CENTRO,2
PBA,2,16574,Privado,Urbano,4,3,641.13306,575.57098,.61110705,2,2,-9,1,7,5,CENTRO,2
