provincia,seccion,idalumno,sector,ambito,ldesemp,mdesemp,lpuntaje,mpuntaje,NSE_puntaje,NSE_nivel,edadA_junio2023,migracion,sobreedad,Nivel_Ed_Madre,Nivel_Ed_Padre,region,clima_escolar
CRR,3,701640,Estatal,Urbano,1,1,350.95563,250.40561,-.70747721,2,3,2,2,5,6,NEA,2
PBA,2,154604,Estatal,Urbano,1,1,356.42606,250.95219,-.031953666,2,4,1,3,5,7,CENTRO,3
PBA,3,594362,Estatal,Urbano,1,1,383.18811,250.30859,.40805122,2,4,2,3,2,7,CENTRO,2
PBA,1,470797,Estatal,Urbano,1,1,244.21463,250.95219,-.19435747,2,2,2,1,7,7,CENTRO,2
CHU,4,357438,Estatal,Urbano,3,1,449.69522,250.35249,.23697107,2,2,2,1,5,5,SUR,2
CHA,4,809609,Estatal,Urbano,1,1,250.80801,302.45718,-.049973898,2,2,2,1,7,7,NEA,1
TUC,2,28483,Estatal,Urbano,1,1,307.94449,250.60953,-1.1720694,1,2,-9,1,5,3,NOA,2
MIS,2,125751,Estatal,Urbano,1,1,373.42422,250.33676,1.1706324,3,2,1,1,7,7,NEA,2
PBA,1,599029,Estatal,Urbano,1,1,337.52679,250.30859,-.60014856,2,3,2,2,5,5,CENTRO,2
TUC,1,50104,Estatal,Rural,1,1,387.11084,250.60953,-.4911108,2,2,-9,1,5,5,NOA,1
PBA,2,555418,Estatal,Urbano,1,1,378.97952,250.25539,-.28489888,2,2,2,1,4,4,CENTRO,2
SDE,1,70225,Estatal,Urbano,1,1,386.14386,250.77888,-.38295746,2,3,2,2,6,5,NOA,1
LRI,2,321336,Estatal,Urbano,1,1,323.73538,250.95219,-1.19411,1,1,-9,0,7,3,NOA,2
