provincia,seccion,idalumno,sector,ambito,ldesemp,mdesemp,lpuntaje,mpuntaje,NSE_puntaje,NSE_nivel,edadA_junio2023,migracion,sobreedad,Nivel_Ed_Madre,Nivel_Ed_Padre,region,clima_escolar
PBA,2,16574,Privado,Urbano,4,3,641.13306,575.57098,.61110705,2,2,-9,1,7,5,CENTRO,2
PBA,2,16574,Privado,Urbano,4,3,641.13306,575.57098,.61110705,2,2,-9,1,7,5,CENTRO,2
PBA,2,16574,Privado,Urbano,4,3,641.13306,575.57098,.61110705,2,2,-9,1,7,5,CENTRO,2
PBA,2,16574,Privado,Urbano,4,3,641.13306,575.57098,.61110705,2,2,-9,1,7,5,CENTRO,2
PBA,2,16574,Privado,Urbano,4,3,641.13306,575.57098,.61110705,2,2,-9,1,7,5,CENTRO,2
PBA,2,16574,Privado,Urbano,4,3,641.13306,575.57098,.61110705,2,2,-9,1,7,5,CENTRO,2
PBA,2,16574,Privado,Urbano,4,3,641.13306,575.57098,.61110705,2,2,-9,1,7,5,CENTRO,2
PBA,2,16574,Privado,Urbano,4,3,641.13306,575.57098,.61110705,2,2,-9,1,7,5,CENTRO,2
PBA,2,16574,Privado,Urbano,4,3,641.13306,575.57098,.61110705,2,2,-9,1,7,5,CENTRO,2
PBA,2,16574,Privado,Urbano,4,3,641.13306,575.57098,.61110705,2,2,-9,1,7,5,CENTRO,2
PBA,2,16574,Privado,Urbano,4,3,641.13306,575.57098,.61110705,2,2,-9,1,7,5,CENTRO,2
PBA,2,16574,Privado,Urbano,4,3,641.13306,575.57098,.61110705,2,2,-9,1,7,5,CENTRO,2
PBA,2,16574,Privado,Urbano,4,3,641.13306,575.57098,.61110705,2,2,-9,1,7,5,CENTRO,2
PBA,2,16574,Privado,Urbano,4,3,641.13306,575.57098,.61110705,2,2,-9,1,7,5,CENTRO,2
PBA,2,16574,Privado,Urbano,4,3,641.13306,575.57098,.61110705,2,2,-9,1,7,5,CENTRO,2
PBA,2,16574,Privado,Urbano,4,3,641.13306,575.57098,.61110705,2,2,-9,1,7,5,CENTRO,2
PBA,2,16574,Privado,Urbano,4,3,641.13306,575.57098,.61110705,2,2,-9,1,7,5,CENTRO,2
