provincia,seccion,idalumno,sector,ambito,ldesemp,mdesemp,lpuntaje,mpuntaje,NSE_puntaje,NSE_nivel,edadA_junio2023,migracion,sobreedad,Nivel_Ed_Madre,Nivel_Ed_Padre,region,clima_escolar
SJU,2,832643,Estatal,Urbano,4,3,700.20197,567.73108,1.0938604,3,2,2,1,7,7,CUYO,2
PBA,1,566108,Privado,Urbano,4,4,652.48761,700.60883,1.0554599,3,2,2,1,7,7,CENTRO,2
CBA,2,292056,Privado,Urbano,4,4,653.35583,700.60883,1.3385952,3,2,2,1,7,7,CENTRO,3
PBA,3,861969,Estatal,Urbano,4,4,700.75153,608.94745,.49066219,2,2,2,1,7,7,CENTRO,2
SFE,2,786133,Privado,Urbano,4,4,663.84729,700.24451,1.1917676,3,2,2,1,7,5,CENTRO,2
CBA,2,286334,Privado,Urbano,4,4,700.53345,694.93115,.61757135,2,2,2,1,6,6,CENTRO,2
CAB,1,628585,Estatal,Urbano,4,4,700.41046,601.62189,.70199502,2,3,2,2,5,3,CENTRO,2
TUC,2,31217,Privado,Urbano,4,4,700.14093,666.065,1.0938604,3,2,2,1,7,7,NOA,1
SFE,2,346964,Estatal,Rural,4,4,700.14093,610.39111,1.2546139,3,2,2,1,7,7,CENTRO,2
PBA,2,547364,Privado,Urbano,4,3,700.53345,585.42798,1.3385952,3,2,2,1,7,7,CENTRO,2
CBA,2,305765,Estatal,Urbano,4,3,700.60333,569.78723,1.2546139,3,2,2,1,7,7,CENTRO,2
PBA,4,502929,Privado,Urbano,4,4,700.75488,684.31787,.64943677,2,2,2,1,5,4,CENTRO,3
CBA,1,300441,Estatal,Rural,4,4,714.43982,700.60883,-.46649656,2,2,2,1,2,2,CENTRO,3
CBA,2,291279,Privado,Urbano,4,4,700.1684,641.10626,.92589754,2,2,2,1,7,7,CENTRO,2
PBA,1,544287,Estatal,Urbano,4,4,700.67633,634.60999,.33479771,2,2,2,1,6,3,CENTRO,2
NEU,1,84881,Privado,Urbano,4,4,640.60522,700.38177,.88749701,2,2,1,1,7,7,SUR,2
MIS,2,136062,Estatal,Urbano,4,4,700.90167,722.17761,-2.6314297,1,2,2,1,2,2,NEA,3
SFE,1,763255,Estatal,Rural,4,4,653.95636,700.63995,.037353147,2,1,2,0,5,3,CENTRO,2
PBA,1,595675,Privado,Urbano,4,3,700.14093,531.38843,.93280417,2,2,2,1,5,5,CENTRO,2
MIS,1,124794,Estatal,Rural,3,4,491.32196,700.63995,-.77367043,2,2,2,1,3,5,NEA,2
